,Position,Team,Played,W,D,L,GF,GA,GD,PTS,Year,League
0,1,Manchester City,38,32,2,4,95,23,72,98,2018,epl
1,2,Liverpool,38,30,7,1,89,22,67,97,2018,epl
2,3,Chelsea,38,21,9,8,63,39,24,72,2018,epl
3,4,Tottenham Hotspur,38,23,2,13,67,39,28,71,2018,epl
4,5,Arsenal,38,21,7,10,73,51,22,70,2018,epl
5,6,Manchester United,38,19,9,10,65,54,11,66,2018,epl
6,7,Wolverhampton Wanderers,38,16,9,13,47,46,1,57,2018,epl
7,8,Everton,38,15,9,14,54,46,8,54,2018,epl
8,9,Leicester City,38,15,7,16,51,48,3,52,2018,epl
9,10,West Ham United,38,15,7,16,52,55,-3,52,2018,epl
10,11,Watford,38,14,8,16,52,59,-7,50,2018,epl
11,12,Crystal Palace,38,14,7,17,51,53,-2,49,2018,epl
12,13,Newcastle United,38,12,9,17,42,48,-6,45,2018,epl
13,14,Bournemouth,38,13,6,19,56,70,-14,45,2018,epl
14,15,Burnley,38,11,7,20,45,68,-23,40,2018,epl
15,16,Southampton,38,9,12,17,45,65,-20,39,2018,epl
16,17,Brighton and Hove Albion,38,9,9,20,35,60,-25,36,2018,epl
17,18,Cardiff City,38,10,4,24,34,69,-35,34,2018,epl
18,19,Fulham,38,7,5,26,34,81,-47,26,2018,epl
19,20,Huddersfield Town,38,3,7,28,22,76,-54,16,2018,epl
20,1,Manchester City,38,32,4,2,106,27,79,100,2017,epl
21,2,Manchester United,38,25,6,7,68,28,40,81,2017,epl
22,3,Tottenham Hotspur,38,23,8,7,74,36,38,77,2017,epl
23,4,Liverpool,38,21,12,5,84,38,46,75,2017,epl
24,5,Chelsea,38,21,7,10,62,38,24,70,2017,epl
25,6,Arsenal,38,19,6,13,74,51,23,63,2017,epl
26,7,Burnley,38,14,12,12,36,39,-3,54,2017,epl
27,8,Everton,38,13,10,15,44,58,-14,49,2017,epl
28,9,Leicester City,38,12,11,15,56,60,-4,47,2017,epl
29,10,Newcastle United,38,12,8,18,39,47,-8,44,2017,epl
30,11,Crystal Palace,38,11,11,16,45,55,-10,44,2017,epl
31,12,Bournemouth,38,11,11,16,45,61,-16,44,2017,epl
32,13,West Ham United,38,10,12,16,48,68,-20,42,2017,epl
33,14,Watford,38,11,8,19,44,64,-20,41,2017,epl
34,15,Brighton and Hove Albion,38,9,13,16,34,54,-20,40,2017,epl
35,16,Huddersfield Town,38,9,10,19,28,58,-30,37,2017,epl
36,17,Southampton,38,7,15,16,37,56,-19,36,2017,epl
37,18,Swansea City,38,8,9,21,28,56,-28,33,2017,epl
38,19,Stoke City,38,7,12,19,35,68,-33,33,2017,epl
39,20,West Bromwich Albion,38,6,13,19,31,56,-25,31,2017,epl
40,1,Chelsea,38,30,3,5,85,33,52,93,2016,epl
41,2,Tottenham Hotspur,38,26,8,4,86,26,60,86,2016,epl
42,3,Manchester City,38,23,9,6,80,39,41,78,2016,epl
43,4,Liverpool,38,22,10,6,78,42,36,76,2016,epl
44,5,Arsenal,38,23,6,9,77,44,33,75,2016,epl
45,6,Manchester United,38,18,15,5,54,29,25,69,2016,epl
46,7,Everton,38,17,10,11,62,44,18,61,2016,epl
47,8,Southampton,38,12,10,16,41,48,-7,46,2016,epl
48,9,Bournemouth,38,12,10,16,55,67,-12,46,2016,epl
49,10,West Bromwich Albion,38,12,9,17,43,51,-8,45,2016,epl
50,11,West Ham United,38,12,9,17,47,64,-17,45,2016,epl
51,12,Leicester City,38,12,8,18,48,63,-15,44,2016,epl
52,13,Stoke City,38,11,11,16,41,56,-15,44,2016,epl
53,14,Crystal Palace,38,12,5,21,50,63,-13,41,2016,epl
54,15,Swansea City,38,12,5,21,45,70,-25,41,2016,epl
55,16,Burnley,38,11,7,20,39,55,-16,40,2016,epl
56,17,Watford,38,11,7,20,40,68,-28,40,2016,epl
57,18,Hull City,38,9,7,22,37,80,-43,34,2016,epl
58,19,Middlesbrough,38,5,13,20,27,53,-26,28,2016,epl
59,20,Sunderland,38,6,6,26,29,69,-40,24,2016,epl
60,1,Leicester City,38,23,12,3,68,36,32,81,2015,epl
61,2,Arsenal,38,20,11,7,65,36,29,71,2015,epl
62,3,Tottenham Hotspur,38,19,13,6,69,35,34,70,2015,epl
63,4,Manchester City,38,19,9,10,71,41,30,66,2015,epl
64,5,Manchester United,38,19,9,10,49,35,14,66,2015,epl
65,6,Southampton,38,18,9,11,59,41,18,63,2015,epl
66,7,West Ham United,38,16,14,8,65,51,14,62,2015,epl
67,8,Liverpool,38,16,12,10,63,50,13,60,2015,epl
68,9,Stoke City,38,14,9,15,41,55,-14,51,2015,epl
69,10,Chelsea,38,12,14,12,59,53,6,50,2015,epl
70,11,Everton,38,11,14,13,59,55,4,47,2015,epl
71,12,Swansea City,38,12,11,15,42,52,-10,47,2015,epl
72,13,Watford,38,12,9,17,40,50,-10,45,2015,epl
73,14,West Bromwich Albion,38,10,13,15,34,48,-14,43,2015,epl
74,15,Crystal Palace,38,11,9,18,39,51,-12,42,2015,epl
75,16,Bournemouth,38,11,9,18,45,67,-22,42,2015,epl
76,17,Sunderland,38,9,12,17,48,62,-14,39,2015,epl
77,18,Newcastle United,38,9,10,19,44,65,-21,37,2015,epl
78,19,Norwich City,38,9,7,22,39,67,-28,34,2015,epl
79,20,Aston Villa,38,3,8,27,27,76,-49,17,2015,epl
80,1,Chelsea,38,26,9,3,73,32,41,87,2014,epl
81,2,Manchester City,38,24,7,7,83,38,45,79,2014,epl
82,3,Arsenal,38,22,9,7,71,36,35,75,2014,epl
83,4,Manchester United,38,20,10,8,62,37,25,70,2014,epl
84,5,Tottenham Hotspur,38,19,7,12,58,53,5,64,2014,epl
85,6,Liverpool,38,18,8,12,52,48,4,62,2014,epl
86,7,Southampton,38,18,6,14,54,33,21,60,2014,epl
87,8,Swansea City,38,16,8,14,46,49,-3,56,2014,epl
88,9,Stoke City,38,15,9,14,48,45,3,54,2014,epl
89,10,Crystal Palace,38,13,9,16,47,51,-4,48,2014,epl
90,11,Everton,38,12,11,15,48,50,-2,47,2014,epl
91,12,West Ham United,38,12,11,15,44,47,-3,47,2014,epl
92,13,West Bromwich Albion,38,11,11,16,38,51,-13,44,2014,epl
93,14,Leicester City,38,11,8,19,46,55,-9,41,2014,epl
94,15,Newcastle United,38,10,9,19,40,63,-23,39,2014,epl
95,16,Sunderland,38,7,17,14,31,53,-22,38,2014,epl
96,17,Aston Villa,38,10,8,20,31,57,-26,38,2014,epl
97,18,Hull City,38,8,11,19,33,51,-18,35,2014,epl
98,19,Burnley,38,7,12,19,28,53,-25,33,2014,epl
