,Team,Stadium,Lat,Lon
0,England national football team,https://en.wikipedia.org/wiki/Wembley_Stadium,51.555833,-0.279722
1,Manchester United,https://en.wikipedia.org/wiki/Old_Trafford,53.463056,-2.291389
2,Tottenham Hotspur,https://en.wikipedia.org/wiki/Tottenham_Hotspur_Stadium,51.604444,-0.066389
3,Arsenal,https://en.wikipedia.org/wiki/Emirates_Stadium,51.555,-0.108611
4,West Ham United,https://en.wikipedia.org/wiki/London_Stadium,51.538611,-0.016389
5,Manchester City,https://en.wikipedia.org/wiki/City_of_Manchester_Stadium,53.483056,-2.200278
6,Liverpool,https://en.wikipedia.org/wiki/Anfield,53.430828,-2.960847
7,Newcastle United,https://en.wikipedia.org/wiki/St_James%27_Park,54.975556,-1.621667
8,Sunderland,https://en.wikipedia.org/wiki/Stadium_of_Light,54.914444,-1.388333
9,Aston Villa,https://en.wikipedia.org/wiki/Villa_Park,52.509167,-1.884722
10,Chelsea,https://en.wikipedia.org/wiki/Stamford_Bridge_(stadium),51.481667,-0.191111
11,Sheffield Wednesday,https://en.wikipedia.org/wiki/Hillsborough_Stadium,53.411389,-1.500556
12,Everton,https://en.wikipedia.org/wiki/Goodison_Park,53.438889,-2.966389
13,Leeds United,https://en.wikipedia.org/wiki/Elland_Road,53.777778,-1.572222
14,Middlesbrough,https://en.wikipedia.org/wiki/Riverside_Stadium,54.578333,-1.216944
15,Derby County,https://en.wikipedia.org/wiki/Pride_Park_Stadium,52.915,-1.447222
16,Sheffield United,https://en.wikipedia.org/wiki/Bramall_Lane,53.370278,-1.470833
17,Southampton,https://en.wikipedia.org/wiki/St_Mary%27s_Stadium,50.905833,-1.391111
18,Leicester City,https://en.wikipedia.org/wiki/King_Power_Stadium,52.620278,-1.142222
19,Wolverhampton Wanderers,https://en.wikipedia.org/wiki/Molineux_Stadium,52.590278,-2.130278
20,Blackburn Rovers,https://en.wikipedia.org/wiki/Ewood_Park,53.728611,-2.489167
21,Brighton & Hove Albion,https://en.wikipedia.org/wiki/Falmer_Stadium,50.861822,-0.083278
22,Milton Keynes Dons,https://en.wikipedia.org/wiki/Stadium_mk,52.009444,-0.733333
23,Nottingham Forest,https://en.wikipedia.org/wiki/City_Ground,52.94,-1.132778
24,Ipswich Town,https://en.wikipedia.org/wiki/Portman_Road,52.055061,1.144831
25,Stoke City,https://en.wikipedia.org/wiki/Bet365_Stadium,52.988333,-2.175556
26,Birmingham City,https://en.wikipedia.org/wiki/St_Andrew%27s_(stadium),52.475703,-1.868189
27,Bolton Wanderers,https://en.wikipedia.org/wiki/University_of_Bolton_Stadium,53.580556,-2.535556
28,Norwich City,https://en.wikipedia.org/wiki/Carrow_Road,52.622128,1.308653
29,Charlton Athletic,https://en.wikipedia.org/wiki/The_Valley_(London),51.486389,0.036389
30,West Bromwich Albion,https://en.wikipedia.org/wiki/The_Hawthorns,52.509167,-1.963889
31,Bristol City,https://en.wikipedia.org/wiki/Ashton_Gate_Stadium,51.44,-2.620278
32,Crystal Palace,https://en.wikipedia.org/wiki/Selhurst_Park,51.398333,-0.085556
33,Fulham,https://en.wikipedia.org/wiki/Craven_Cottage,51.475,-0.221667
34,Hull City,https://en.wikipedia.org/wiki/KCOM_Stadium,53.746111,-0.367778
35,Wigan Athletic,https://en.wikipedia.org/wiki/DW_Stadium,53.547778,-2.653889
36,Bradford City,https://en.wikipedia.org/wiki/Valley_Parade,53.804167,-1.758889
37,Reading,https://en.wikipedia.org/wiki/Madejski_Stadium,51.422222,-0.982778
38,Huddersfield Town,https://en.wikipedia.org/wiki/Kirklees_Stadium,53.654167,-1.768333
39,Preston North End,https://en.wikipedia.org/wiki/Deepdale,53.772222,-2.688056
40,Barnsley,https://en.wikipedia.org/wiki/Oakwell,53.552222,-1.4675
41,Watford,https://en.wikipedia.org/wiki/Vicarage_Road,51.649836,-0.401486
42,Burnley,https://en.wikipedia.org/wiki/Turf_Moor,53.789167,-2.230278
43,Portsmouth,https://en.wikipedia.org/wiki/Fratton_Park,50.796389,-1.063889
